"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.700131760E0,-4.244620800E-1,-2.094951153E0,1.282320023E0,2.492655819E0
1.707974778E0,-4.406733513E-1,-2.250708103E0,1.233633041E0,2.604175580E0
1.715970383E0,-4.689952135E-1,-2.374531507E0,1.256438255E0,2.727085162E0
1.723874436E0,-4.687555730E-1,-2.526392698E0,1.278987885E0,2.870226796E0
1.731809006E0,-4.901668429E-1,-2.644886255E0,1.327594757E0,2.999699098E0
1.739682541E0,-4.997094572E-1,-2.810184717E0,1.344905853E0,3.155252675E0
1.747586594E0,-5.185891390E-1,-2.924590111E0,1.311651230E0,3.246935626E0
1.755551682E0,-5.468173027E-1,-3.079063892E0,1.299895287E0,3.386646036E0
1.763455735E0,-5.365893245E-1,-3.223444462E0,1.285501480E0,3.511557540E0
1.771420823E0,-5.691083074E-1,-3.342877865E0,1.318667412E0,3.638351334E0
1.779294358E0,-5.754466653E-1,-3.498517513E0,1.327733994E0,3.785979558E0
1.787228928E0,-6.244024634E-1,-3.618016481E0,1.326600075E0,3.903817293E0
1.795163498E0,-6.108162999E-1,-3.740168095E0,1.296534538E0,4.005365868E0
1.803067551E0,-6.300866604E-1,-3.860284328E0,1.249078751E0,4.105971508E0
1.811002121E0,-6.510228515E-1,-3.980316162E0,1.174481392E0,4.200732560E0
1.818875657E0,-6.717773080E-1,-4.087687492E0,1.099399567E0,4.285925010E0
1.826749192E0,-6.848211288E-1,-4.195734978E0,1.030164719E0,4.374289809E0
1.834683762E0,-6.973404884E-1,-4.287893295E0,9.744625092E-1,4.452178102E0
1.842557297E0,-7.046633959E-1,-4.399038315E0,8.768968582E-1,4.540598716E0
1.850491868E0,-7.135305405E-1,-4.478274345E0,7.850751877E-1,4.602217943E0
1.858395920E0,-7.433656454E-1,-4.571526527E0,7.181663513E-1,4.686919050E0
1.866269455E0,-7.524691820E-1,-4.661470413E0,6.448888779E-1,4.765647694E0
1.874204026E0,-7.551171184E-1,-4.740988255E0,5.983791351E-1,4.837895109E0
1.882077561E0,-7.688426375E-1,-4.824359894E0,6.103067398E-1,4.923214570E0
1.890042649E0,-7.746996880E-1,-4.892966747E0,5.763053894E-1,4.987325044E0
1.897946702E0,-7.751371861E-1,-4.965201855E0,5.350933075E-1,5.053750287E0
1.905850754E0,-7.887152433E-1,-5.035045147E0,5.378580093E-1,5.124748053E0
1.913754807E0,-7.942559719E-1,-5.100250721E0,4.752149582E-1,5.183553725E0
1.921628342E0,-7.990385294E-1,-5.159372330E0,4.158878326E-1,5.237418075E0
1.929562912E0,-8.105206490E-1,-5.228580952E0,3.666467667E-1,5.303718728E0
1.937436448E0,-8.190484047E-1,-5.245129108E0,2.682380676E-1,5.315465296E0
1.945401536E0,-7.958152294E-1,-5.267425537E0,1.702003479E-1,5.329921372E0
1.953336106E0,-8.099364042E-1,-5.305296898E0,2.699661255E-2,5.366833421E0
1.961209641E0,-8.165097237E-1,-5.334262848E0,-6.012439728E-2,5.396727082E0
1.969144211E0,-8.109555244E-1,-5.335852623E0,-1.531858444E-1,5.399299768E0
1.977017746E0,-8.103392720E-1,-5.336375713E0,-2.354965210E-1,5.402685823E0
1.984921799E0,-7.976748347E-1,-5.379080296E0,-2.831125259E-1,5.445267915E0
1.992886887E0,-7.944544554E-1,-5.443127632E0,-3.053436279E-1,5.509267740E0
2.000790940E0,-7.933875918E-1,-5.425695896E0,-3.104715347E-1,5.492179203E0
2.008725510E0,-7.871698141E-1,-5.455217361E0,-3.002414703E-1,5.519889285E0
2.016599045E0,-7.997902036E-1,-5.469613075E0,-3.081321716E-1,5.536359544E0
2.024472580E0,-8.026254177E-1,-5.481084824E0,-3.160562515E-1,5.548548455E0
2.032437668E0,-8.149670362E-1,-5.515257835E0,-2.993116379E-1,5.583173624E0
2.040341721E0,-7.934408188E-1,-5.519631386E0,-2.781610489E-1,5.583301222E0
2.048306809E0,-7.760977745E-1,-5.534211159E0,-2.757720947E-1,5.595164980E0
2.056180344E0,-7.822659612E-1,-5.542115211E0,-2.850322723E-1,5.604304100E0
2.064023362E0,-7.612353563E-1,-5.529619217E0,-2.828712463E-1,5.588934075E0
2.071988450E0,-7.685956955E-1,-5.527415276E0,-3.114213943E-1,5.589279225E0
2.079861985E0,-7.542535067E-1,-5.508417130E0,-3.279294968E-1,5.569478915E0
2.087796555E0,-7.343537807E-1,-5.488121033E0,-3.617382050E-1,5.548837939E0
2.095670090E0,-7.377155423E-1,-5.467546463E0,-3.620386124E-1,5.528956547E0
2.103635178E0,-7.403743267E-1,-5.456872940E0,-3.692064285E-1,5.519232720E0
2.111569748E0,-7.347611189E-1,-5.446413994E0,-3.508605957E-1,5.506941297E0
2.119443284E0,-7.262631655E-1,-5.410224438E0,-2.960224152E-1,5.466773813E0
2.127377854E0,-7.149406075E-1,-5.390654564E0,-2.408809662E-1,5.443190272E0
2.135281907E0,-7.098837495E-1,-5.369879246E0,-1.786708832E-1,5.419544385E0
2.143185959E0,-7.017389536E-1,-5.337542534E0,-9.657764435E-2,5.384340730E0
2.151151047E0,-6.928280592E-1,-5.300440311E0,-2.581310272E-2,5.345591130E0
2.159055100E0,-6.971776485E-1,-5.266869068E0,3.556442261E-2,5.312930574E0
2.167050705E0,-6.958717108E-1,-5.213855743E0,1.024837494E-1,5.261086586E0
2.174924241E0,-6.746060848E-1,-5.176107407E0,1.961288452E-1,5.223566576E0
2.182797776E0,-6.809627414E-1,-5.134377480E0,2.974786758E-1,5.187873931E0
2.190793381E0,-6.623739004E-1,-5.060026646E0,3.780288696E-1,5.117178389E0
2.198666916E0,-6.474499106E-1,-5.013371944E0,4.285755157E-1,5.073141691E0
2.206632004E0,-6.361213923E-1,-4.924516201E0,4.491405487E-1,4.985703308E0
2.214475022E0,-6.239983439E-1,-4.849363804E0,4.378547668E-1,4.908912306E0
2.222379075E0,-6.062522531E-1,-4.758117199E0,4.528255463E-1,4.817911586E0
2.230344162E0,-5.948435664E-1,-4.662312031E0,4.573640823E-1,4.722306030E0
2.238217698E0,-5.922952890E-1,-4.569198608E0,4.932146072E-1,4.633751211E0
2.246152268E0,-5.839893818E-1,-4.472887993E0,5.458507538E-1,4.543756556E0
2.254025803E0,-5.796702504E-1,-4.375389099E0,6.130008698E-1,4.455986696E0
2.261990891E0,-5.699467063E-1,-4.278364182E0,7.288799286E-1,4.377271441E0
2.269925461E0,-5.642707348E-1,-4.164360046E0,8.049049377E-1,4.278804508E0
2.277798996E0,-5.420440435E-1,-4.057670116E0,9.143314362E-1,4.194579895E0
2.285764084E0,-5.365990400E-1,-3.958412647E0,1.009268761E0,4.120144736E0
2.293668137E0,-5.188827515E-1,-3.838026524E0,1.026978493E0,4.006790702E0
2.301511155E0,-5.154074430E-1,-3.708124161E0,1.073262215E0,3.894575895E0
2.309476243E0,-4.976841807E-1,-3.611190796E0,1.097715378E0,3.807015571E0
2.317319260E0,-4.970082045E-1,-3.479609728E0,1.121798515E0,3.689597935E0
2.325284348E0,-4.822195172E-1,-3.355632305E0,1.219987869E0,3.602939665E0
2.333157883E0,-4.768313169E-1,-3.228212357E0,1.241230011E0,3.491328553E0
2.341122971E0,-4.326320291E-1,-3.017704487E0,1.273661613E0,3.303925657E0
2.349057541E0,-4.236280918E-1,-2.848199368E0,1.264668465E0,3.145009813E0
2.356961594E0,-4.093613327E-1,-2.689980030E0,1.239350319E0,2.989909443E0
2.364896164E0,-4.074054360E-1,-2.560933352E0,1.197059631E0,2.856100590E0
2.372800217E0,-4.032160640E-1,-2.428718805E0,1.180819511E0,2.730493169E0
2.380704270E0,-3.778797984E-1,-2.282555103E0,1.176318169E0,2.595491355E0
2.388669358E0,-3.766057789E-1,-2.138600349E0,1.202687263E0,2.482317470E0
2.396512375E0,-3.636171818E-1,-2.017058134E0,1.209646225E0,2.379912805E0
2.404477463E0,-3.367005289E-1,-1.889692187E0,1.245027542E0,2.287880545E0
2.412320481E0,-3.439081609E-1,-1.743688822E0,1.284852028E0,2.193072790E0
2.420316086E0,-3.300996721E-1,-1.609688163E0,1.309855461E0,2.101376478E0
2.428250657E0,-3.331865072E-1,-1.458892107E0,1.315307617E0,1.992338715E0
2.436154709E0,-3.006830513E-1,-1.344939947E0,1.327295303E0,1.913370477E0
